internalName,color,technologyColor,levelColor,languageColor,conceptColor
PB_WINDOW,"rgb(143, 15, 8)",,,"rgb(143, 15, 8)","rgb(79, 122, 40)"
PB_FUNCTION,"rgb(143, 15, 8)",,,"rgb(143, 15, 8)","rgb(0, 86, 214)"
PB_DATAWINDOW,"rgb(143, 15, 8)",,,"rgb(143, 15, 8)","rgb(79, 122, 40)"
PB_STRUCTURE,"rgb(143, 15, 8)",,,"rgb(143, 15, 8)","rgb(0, 158, 250)"
PB_USEROBJECT,"rgb(143, 15, 8)",,,"rgb(143, 15, 8)",
PB_MENU,"rgb(143, 15, 8)",,,"rgb(143, 15, 8)","rgb(79, 122, 40)"
PB_APPLICATION,"rgb(143, 15, 8)",,,"rgb(143, 15, 8)","rgb(123, 33, 159)"
PB_PROXYOBJECT,"rgb(143, 15, 8)",,,"rgb(143, 15, 8)",
PB_RPCFUNC,"rgb(143, 15, 8)",,,"rgb(143, 15, 8)","rgb(0, 86, 214)"
PB_FUNCINCLASS,"rgb(143, 15, 8)",,,"rgb(143, 15, 8)","rgb(0, 86, 214)"
PB_EVENT,"rgb(143, 15, 8)",,,"rgb(143, 15, 8)","rgb(0, 199, 252)"
PB_DATASTORE,"rgb(143, 15, 8)",,,"rgb(143, 15, 8)","rgb(0, 54, 74)"
PB_CONTROL,"rgb(143, 15, 8)",,,"rgb(143, 15, 8)","rgb(79, 122, 40)"
PB_EXTFUNCTION,"rgb(143, 15, 8)",,,"rgb(143, 15, 8)","rgb(0, 86, 214)"
PB_DEC_PROC,"rgb(143, 15, 8)",,,"rgb(143, 15, 8)","rgb(0, 199, 252)"
PB_DEC_CURSOR,"rgb(143, 15, 8)",,,"rgb(143, 15, 8)",
PB_LIBRARY,"rgb(143, 15, 8)",,,"rgb(143, 15, 8)","rgb(79, 85, 3)"
VB_FORM,"rgb(49, 79, 176)",,,"rgb(49, 79, 176)","rgb(79, 122, 40)"
VB_MDI_FORM,"rgb(49, 79, 176)",,,"rgb(49, 79, 176)","rgb(79, 122, 40)"
VB_MODULE,"rgb(49, 79, 176)",,,"rgb(49, 79, 176)","rgb(154, 36, 79)"
VB_CLASS_MODULE,"rgb(49, 79, 176)",,,"rgb(49, 79, 176)","rgb(0, 158, 250)"
VB_USER_CONTROL,"rgb(49, 79, 176)",,,"rgb(49, 79, 176)","rgb(79, 122, 40)"
VB_PROPERTY_PAGE,"rgb(49, 79, 176)",,,"rgb(49, 79, 176)","rgb(255, 170, 0)"
VB_USER_DOC,"rgb(49, 79, 176)",,,"rgb(49, 79, 176)",
VB_DESIGNER,"rgb(49, 79, 176)",,,"rgb(49, 79, 176)","rgb(170, 121, 66)"
VB_CONTROL,"rgb(49, 79, 176)",,,"rgb(49, 79, 176)","rgb(79, 122, 40)"
VB_SUB,"rgb(49, 79, 176)",,,"rgb(49, 79, 176)",
VB_FUNCTION,"rgb(49, 79, 176)",,,"rgb(49, 79, 176)","rgb(0, 86, 214)"
VB_PROPERTY_LET,"rgb(49, 79, 176)",,,"rgb(49, 79, 176)","rgb(173, 62, 0)"
VB_PROPERTY_GET,"rgb(49, 79, 176)",,,"rgb(49, 79, 176)","rgb(154, 166, 14)"
VB_PROPERTY_SET,"rgb(49, 79, 176)",,,"rgb(49, 79, 176)","rgb(173, 62, 0)"
VB_EVENT,"rgb(49, 79, 176)",,,"rgb(49, 79, 176)","rgb(0, 199, 252)"
VB_EXTFUNCTION,"rgb(49, 79, 176)",,,"rgb(49, 79, 176)","rgb(0, 86, 214)"
VB_EXTSUB,"rgb(49, 79, 176)",,,"rgb(49, 79, 176)",
VB_ENUM,"rgb(49, 79, 176)",,,"rgb(49, 79, 176)","rgb(0, 163, 215)"
VB_TYPE,"rgb(49, 79, 176)",,,"rgb(49, 79, 176)","rgb(255, 170, 0)"
VB_CONST,"rgb(49, 79, 176)",,,"rgb(49, 79, 176)","rgb(255, 170, 0)"
VB_VAR,"rgb(49, 79, 176)",,,"rgb(49, 79, 176)","rgb(255, 170, 0)"
VB_PROJECT_GROUP,"rgb(49, 79, 176)",,,"rgb(49, 79, 176)","rgb(79, 85, 3)"
CAST_Com_Interface,"rgb(148, 0, 255)","rgb(148, 0, 255)",,,"rgb(0, 158, 250)"
CAST_Com_DispInterface,"rgb(148, 0, 255)","rgb(148, 0, 255)",,,"rgb(79, 122, 40)"
CAST_Com_CoClass,"rgb(148, 0, 255)","rgb(148, 0, 255)",,,"rgb(0, 158, 250)"
CAST_Com_PropGet,"rgb(148, 0, 255)","rgb(148, 0, 255)",,,"rgb(154, 166, 14)"
CAST_Com_PropPut,"rgb(148, 0, 255)","rgb(148, 0, 255)",,,"rgb(173, 62, 0)"
CAST_Com_PropPutRef,"rgb(148, 0, 255)","rgb(148, 0, 255)",,,"rgb(173, 62, 0)"
CAST_Com_Method,"rgb(148, 0, 255)","rgb(148, 0, 255)",,,"rgb(0, 86, 214)"
JV_PACKAGE,"rgb(176, 114, 1)",,,"rgb(176, 114, 1)","rgb(60, 167, 220)"
JV_CLASS,"rgb(176, 114, 1)",,,"rgb(176, 114, 1)","rgb(0, 158, 250)"
JV_CTOR,"rgb(176, 114, 1)",,,"rgb(176, 114, 1)","rgb(0, 140, 130)"
JV_METHOD,"rgb(176, 114, 1)",,,"rgb(176, 114, 1)","rgb(0, 86, 214)"
JV_FIELD,"rgb(176, 114, 1)",,,"rgb(176, 114, 1)","rgb(255, 170, 0)"
JV_INTERFACE,"rgb(176, 114, 1)",,,"rgb(176, 114, 1)","rgb(0, 158, 250)"
JV_INIT,"rgb(176, 114, 1)",,,"rgb(176, 114, 1)","rgb(0, 86, 214)"
CAST_Forms_Trigger,"rgb(223, 18, 18)","rgb(223, 18, 18)",,,"rgb(176, 168, 185)"
CAST_Forms_Module,"rgb(223, 18, 18)","rgb(223, 18, 18)",,,"rgb(154, 36, 79)"
CAST_Forms_DataBlock,"rgb(223, 18, 18)","rgb(223, 18, 18)",,,
CAST_Forms_DataBlockItem,"rgb(223, 18, 18)","rgb(223, 18, 18)",,,
CAST_Forms_MenuModule,"rgb(223, 18, 18)","rgb(223, 18, 18)",,,"rgb(154, 36, 79)"
CAST_Forms_Menu,"rgb(223, 18, 18)","rgb(223, 18, 18)",,,"rgb(79, 122, 40)"
CAST_Forms_MenuItem,"rgb(223, 18, 18)","rgb(223, 18, 18)",,,"rgb(79, 122, 40)"
CAST_Forms_PlsqlModule,"rgb(223, 18, 18)","rgb(223, 18, 18)",,,"rgb(154, 36, 79)"
CAST_Forms_Procedure,"rgb(223, 18, 18)","rgb(223, 18, 18)",,,"rgb(0, 199, 252)"
CAST_Forms_Function,"rgb(223, 18, 18)","rgb(223, 18, 18)",,,"rgb(0, 86, 214)"
CAST_Forms_Package,"rgb(223, 18, 18)","rgb(223, 18, 18)",,,"rgb(60, 167, 220)"
CAST_Forms_PackageBody,"rgb(223, 18, 18)","rgb(223, 18, 18)",,,"rgb(60, 167, 220)"
JV_EJB_ENTITY,"rgb(124, 42, 0)","rgb(124, 42, 0)",,,"rgb(214, 93, 177)"
JV_EJB_SESSION,"rgb(124, 42, 0)","rgb(124, 42, 0)",,,"rgb(167, 123, 0)"
CAST_Forms_RecordGroup,"rgb(223, 18, 18)","rgb(223, 18, 18)",,,
CAST_Forms_LOV,"rgb(223, 18, 18)","rgb(223, 18, 18)",,,"rgb(79, 122, 40)"
CAST_Forms_PopupMenu,"rgb(223, 18, 18)","rgb(223, 18, 18)",,,"rgb(79, 122, 40)"
CAST_Forms_PopupMenuItem,"rgb(223, 18, 18)","rgb(223, 18, 18)",,,"rgb(79, 122, 40)"
CAST_Com_Property,"rgb(148, 0, 255)","rgb(148, 0, 255)",,,"rgb(255, 170, 0)"
CAST_Com_TypeLibCwmmImported,"rgb(148, 0, 255)","rgb(148, 0, 255)",,,"rgb(79, 85, 3)"
JSP_SERVLET,"rgb(42, 98, 119)",,,"rgb(42, 98, 119)",
JV_APPLET,"rgb(176, 114, 1)",,,"rgb(176, 114, 1)","rgb(0, 158, 250)"
CAST_Web_Variable,"rgb(106, 64, 253)",,,"rgb(106, 64, 253)","rgb(255, 170, 0)"
