typnam,concept
ASMZOSProgram,Program
ASM_MACRO,Macro
AbapClass,Class
AbapClassPool,Class Grouping
AbapConstructor,Class Constructor
AbapEvent,Event Handling
AbapEventMethod,Function
AbapInterface,Class
AbapInterfacePool,Class Grouping
AbapMember,Variable
AbapMethod,Function
BO_CLASS,Class
BO_DATA_FILE,File
BO_DATA_OLAP,Data Inbound
BO_DATA_PROC,Data Inbound
BO_DATA_PROVIDER,Data Inbound
BO_DATA_SQL,Data Inbound
BO_DATA_VBA,Data Inbound
BO_DATA_XML,Data Inbound
BO_DOCUMENT,File
BO_LISTOFVALUE,UI
BO_OBJECT_DET,UI
BO_OBJECT_DIM,UI
BO_OBJECT_IND,UI
BO_REPORT,Data Outbound
BO_UNIVERSE,Package
BO_WEBI_DOCUMENT,File
CAST_ABAP_ConstantAbapMember,Variable
CAST_ABAP_FileLevelCodeUnit,File
CAST_ABAP_Package,Package
CAST_ABAP_SAPModule,Class Grouping
CAST_ABAP_SAPTableColumn,Table Column
CAST_ABAP_SAPTableForeignKey,SQL Key
CAST_ABAP_SAPTableIndex,Index
CAST_ABAP_SAPTablePrimaryKey,SQL Key
CAST_ABAP_SAPUnresolvedTable,Table
CAST_ANSISQL_UnresolvedColumn,Table Column
CAST_ASETSQL_DML_Trigger,Trigger
CAST_ASETSQL_Database,Storage
CAST_ASETSQL_ExternalDatabase,Storage
CAST_ASETSQL_ExternalInstance,Schema
CAST_ASETSQL_ExternalSchema,Schema
CAST_ASETSQL_ForeignKeyConstraint,SQL Key
CAST_ASETSQL_Index,Index
CAST_ASETSQL_Instance,Schema
CAST_ASETSQL_JFunction,Database Function
CAST_ASETSQL_PrimaryKeyConstraint,SQL Key
CAST_ASETSQL_Procedure,Procedure
CAST_ASETSQL_RelationalTable,Table
CAST_ASETSQL_Schema,Schema
CAST_ASETSQL_TableColumn,Table Column
CAST_ASETSQL_UniqueConstraint,SQL Key
CAST_ASETSQL_View,View
CAST_ASETSQL_ViewColumn,Table Column
CAST_AWSDotNet_AWS_Lambda_Call,Cloud Function Invocation
CAST_AWSDotNet_Email,Data Outbound
CAST_AWSDotNet_Lambda,Cloud Function
CAST_AWSDotNet_Lambda_Function_ANY,Exposed Web Services
CAST_AWSDotNet_Lambda_Function_DELETE,Exposed Web Services
CAST_AWSDotNet_Lambda_Function_GET,Exposed Web Services
CAST_AWSDotNet_Lambda_Function_POST,Exposed Web Services
CAST_AWSDotNet_Lambda_Function_PUT,Exposed Web Services
CAST_AWSDotNet_PostHttpRequestService,Web Services Call
CAST_AWSDotNet_S3_Bucket,Cloud FileStorage
CAST_AWSDotNet_S3_Region,Configuration
CAST_AWSDotNet_SMS,Data Outbound
CAST_AWSDotNet_SNS_Publisher,Message Queue Publisher
CAST_AWSDotNet_SNS_Subscriber,Message Queue Subscriber
