name,language
ASMZOSProgram,Assembler
ASM_MACRO,Assembler
AbapAlias,ABAP
AbapClass,ABAP
AbapClassPool,ABAP
AbapConstructor,ABAP
AbapEvent,ABAP
AbapEventMethod,ABAP
AbapInterface,ABAP
AbapInterfacePool,ABAP
AbapMember,ABAP
AbapMethod,ABAP
BO_CLASS,SAP BusinessObjects
BO_CONDITION,SAP BusinessObjects
BO_DATA_FILE,SAP BusinessObjects
BO_DATA_OLAP,SAP BusinessObjects
BO_DATA_PROC,SAP BusinessObjects
BO_DATA_PROVIDER,SAP BusinessObjects
BO_DATA_SQL,SAP BusinessObjects
BO_DATA_VBA,SAP BusinessObjects
BO_DATA_XML,SAP BusinessObjects
BO_DOCUMENT,SAP BusinessObjects
BO_LISTOFVALUE,SAP BusinessObjects
BO_OBJECT_DET,SAP BusinessObjects
BO_OBJECT_DIM,SAP BusinessObjects
BO_OBJECT_IND,SAP BusinessObjects
BO_REPORT,SAP BusinessObjects
BO_UNIVERSE,SAP BusinessObjects
BO_WEBI_DOCUMENT,SAP BusinessObjects
CAST_ABAP_ConstantAbapMember,ABAP
CAST_ABAP_FileLevelCodeUnit,ABAP
CAST_ABAP_Package,ABAP
CAST_ABAP_SAPModule,ABAP
CAST_ABAP_SAPUnresolvedTable,ABAP
CAST_ANSISQL_Domain,SQL
CAST_ANSISQL_ExternalObject,SQL
CAST_ANSISQL_Owner,SQL
CAST_ANSISQL_UnresolvedColumn,SQL
CAST_AST_ANSISQL_AnonymousDatatype,SQL
CAST_AWSDotNet_S3_Bucket,C#
CAST_AWSDotNet_S3_Region,C#
CAST_AWSDotNet_Unknown_S3_Bucket,C#
CAST_AWSDotNet_Unknown_S3_Region,C#
CAST_AWSJava_AWS_Lambda,Java
CAST_AWSJava_S3_Bucket,Java
CAST_AWSJava_S3_Region,Java
CAST_AWSJava_Unknown_S3_Bucket,Java
CAST_AWSJava_Unknown_S3_Region,Java
CAST_ActiveMQ_Java_QueueCall,Java
CAST_ActiveMQ_Java_QueueReceive,Java
CAST_ActiveMQ_Python_QueueCall,Python
CAST_ActiveMQ_Python_QueueReceive,Python
CAST_Android_Kotlin_Fragment,Kotlin
CAST_BO_Folder,SAP BusinessObjects
CAST_BPEL_Invoke,BPEL
CAST_BPEL_Process,BPEL
CAST_BPEL_Receive,BPEL
CAST_Birt_MissingTable_Procedure,Birt
CAST_Birt_MissingTable_Schema,Birt
CAST_Birt_MissingTable_Table,Birt
CAST_CICS_MapPrototype,IBM CICS (BMS)
CAST_CICS_MapSetPrototype,IBM CICS (BMS)
