typnam,stacknam,technonam
ASMZOSProgram,[Mainframe].[Assembler].[ASMZOSProgram],Assembler
ASM_MACRO,[Mainframe].[Assembler].[ASM_MACRO],Assembler
AbapAlias,[SAP].[ABAP].[AbapAlias],ABAP
AbapClass,[SAP].[ABAP].[AbapClass],ABAP
AbapClassPool,[SAP].[ABAP].[AbapClassPool],ABAP
AbapConstructor,[SAP].[ABAP].[AbapConstructor],ABAP
AbapEvent,[SAP].[ABAP].[AbapEvent],ABAP
AbapEventMethod,[SAP].[ABAP].[AbapEventMethod],ABAP
AbapInterface,[SAP].[ABAP].[AbapInterface],ABAP
AbapInterfacePool,[SAP].[ABAP].[AbapInterfacePool],ABAP
AbapMember,[SAP].[ABAP].[AbapMember],ABAP
AbapMethod,[SAP].[ABAP].[AbapMethod],ABAP
BO_CLASS,[SAP].[SAP BusinessObjects].[BO_CLASS],SAP BusinessObjects
BO_CONDITION,[SAP].[SAP BusinessObjects].[BO_CONDITION],SAP BusinessObjects
BO_DATA_FILE,[SAP].[SAP BusinessObjects].[BO_DATA_FILE],SAP BusinessObjects
BO_DATA_OLAP,[SAP].[SAP BusinessObjects].[BO_DATA_OLAP],SAP BusinessObjects
BO_DATA_PROC,[SAP].[SAP BusinessObjects].[BO_DATA_PROC],SAP BusinessObjects
BO_DATA_PROVIDER,[SAP].[SAP BusinessObjects].[BO_DATA_PROVIDER],SAP BusinessObjects
BO_DATA_SQL,[SAP].[SAP BusinessObjects].[BO_DATA_SQL],SAP BusinessObjects
BO_DATA_VBA,[SAP].[SAP BusinessObjects].[BO_DATA_VBA],SAP BusinessObjects
BO_DATA_XML,[SAP].[SAP BusinessObjects].[BO_DATA_XML],SAP BusinessObjects
BO_DOCUMENT,[SAP].[SAP BusinessObjects].[BO_DOCUMENT],SAP BusinessObjects
BO_LISTOFVALUE,[SAP].[SAP BusinessObjects].[BO_LISTOFVALUE],SAP BusinessObjects
BO_OBJECT_DET,[SAP].[SAP BusinessObjects].[BO_OBJECT_DET],SAP BusinessObjects
BO_OBJECT_DIM,[SAP].[SAP BusinessObjects].[BO_OBJECT_DIM],SAP BusinessObjects
BO_OBJECT_IND,[SAP].[SAP BusinessObjects].[BO_OBJECT_IND],SAP BusinessObjects
BO_REPORT,[SAP].[SAP BusinessObjects].[BO_REPORT],SAP BusinessObjects
BO_UNIVERSE,[SAP].[SAP BusinessObjects].[BO_UNIVERSE],SAP BusinessObjects
BO_WEBI_DOCUMENT,[SAP].[SAP BusinessObjects].[BO_WEBI_DOCUMENT],SAP BusinessObjects
CAST_ABAP_ConstantAbapMember,[SAP].[ABAP].[CAST_ABAP_ConstantAbapMember],ABAP
CAST_ABAP_FileLevelCodeUnit,[SAP].[ABAP].[CAST_ABAP_FileLevelCodeUnit],ABAP
CAST_ABAP_Package,[SAP].[ABAP].[CAST_ABAP_Package],ABAP
CAST_ABAP_SAPModule,[SAP].[ABAP].[CAST_ABAP_SAPModule],ABAP
